Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Voie;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km;Position aménagement;Circulation générale interdite;Piste;Couloir bus;Continuité cyclable;Réseau cyclable;Date de livraison;geo_shape;geo_point_2d
04;02;01;01;BOULEVARD DE MAGENTA;10;01;84.72473247;0.08472473247000001;;;2;;;;2008-12-31;"{""coordinates"": [[2.351370630741908, 48.881341030310196], [2.3519593648303, 48.88068546551617]], ""type"": ""LineString""}";48.88101324791319,2.3516649977861035
01;02;02;02;RUE CHAMPIONNET;18;01;117.83625507;0.11783625507;;;;;;;2018-12-31;"{""coordinates"": [[2.3466073909301506, 48.89577593518674], [2.347591981746986, 48.89566760570355], [2.3481932153086413, 48.895603790355565]], ""type"": ""LineString""}";48.895689146219134,2.3474002256727458
04;01;01;01;Rue Froidevaux;14;01;20.24016374;0.02024016374;;;1;;1;;2018-12-31;"{""coordinates"": [[2.3298973077653846, 48.83522844929654], [2.3301425930726185, 48.8351452967865]], ""type"": ""LineString""}";48.83518687304152,2.3300199504190013
05;01;05;01;Rue des Hospitalières Saint-Gervais;4;01;36.75370121;0.03675370121;;;;;;;2018-12-31;"{""coordinates"": [[2.359002005164283, 48.85808135081036], [2.3590365778002242, 48.85808747979634], [2.3593664078612044, 48.85830388019396]], ""type"": ""LineString""}";48.85818658609616,2.359186601128499
05;01;05;01;Rue du Marché des Blancs Manteaux;4;01;50.13390732;0.05013390732;;;;;;;2018-12-31;"{""coordinates"": [[2.3581515835336875, 48.85816464537751], [2.3586392278720636, 48.85784882550235]], ""type"": ""LineString""}";48.85800673543993,2.3583954057028755
05;02;04;02;RUE PRINCESSE;6;01;95.80652293;0.09580652293;;;;;;;;"{""coordinates"": [[2.3344161794370053, 48.85276130697897], [2.3345357124457937, 48.85190331411483]], ""type"": ""LineString""}";48.8523323105469,2.3344759459413997
05;02;04;02;Rue Le Regrattier;4;01;174.27366912;0.17427366912;;;;;;;2018-12-31;"{""coordinates"": [[2.355299792311905, 48.85301390644706], [2.35483595272059, 48.85244776227443], [2.3541566908741896, 48.85164013223987]], ""type"": ""LineString""}";48.85232524141424,2.3547303833729405
04;02;01;01;Avenue des Champs-Elysées;8;01;17.99111607;0.01799111607;1;N;1;;1;1;2018-12-31;"{""coordinates"": [[2.30976211539118, 48.86889699282215], [2.3099267390781817, 48.868777061961524]], ""type"": ""LineString""}";48.868837027391834,2.3098444272346805
04;01;01;01;Rue Saint-Antoine;4;01;19.27167133;0.01927167133;1;;1;;;1;2018-12-31;"{""coordinates"": [[2.367292372275961, 48.853367849236285], [2.3675502306812946, 48.853334947137064]], ""type"": ""LineString""}";48.853351398186675,2.367421301478628
05;01;05;;Place de la Concorde;8;01;276.75302139;0.27675302139;;O;;;;;;"{""coordinates"": [[2.321368229450905, 48.86401384618052], [2.3216373144980254, 48.864177529544236], [2.3217918992451887, 48.86435449076938], [2.3229337176054656, 48.86585648904197], [2.3231488812133763, 48.86609089936637], [2.3232254774245584, 48.86616390795649]], ""type"": ""LineString""}";48.86505972711421,2.3223208374342827
04;01;01;01;Rue de Turbigo;2;01;18.86754874;0.01886754874;1;;1;;1;;2017-09-30;"{""coordinates"": [[2.351344431578176, 48.86436034285281], [2.3515889084519723, 48.86441301394087]], ""type"": ""LineString""}";48.86438667839684,2.351466670015074
04;01;01;01;Place de l'Alma;16;01;10.29201918;0.01029201918;1;N;2;;1;;2020-02-29;"{""coordinates"": [[2.3010607864992005, 48.864298831609275], [2.3009389870328185, 48.864344759615264]], ""type"": ""LineString""}";48.86432179561227,2.3009998867660095
