Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km
4;2;1;1;10;1;84.72473247;0.08472473247000001
1;2;2;2;18;1;117.83625507;0.11783625507
4;1;1;1;14;1;20.24016374;0.02024016374
5;1;5;1;4;1;36.75370121;0.03675370121
5;1;5;1;4;1;50.13390732;0.05013390732
5;2;4;2;6;1;95.80652293;0.09580652293
5;2;4;2;4;1;174.27366912;0.17427366912
4;2;1;1;8;1;17.99111607;0.01799111607
4;1;1;1;4;1;19.27167133;0.01927167133
5;1;5;NULL;8;1;276.75302139;0.27675302139
4;1;1;1;2;1;18.86754874;0.01886754874
4;1;1;1;16;1;10.29201918;0.01029201918
1;2;1;1;13;1;23.77390576;0.023773905760000002
4;1;1;1;14;1;133.14675276;0.13314675276
2;2;1;1;14;1;109.94456563;0.10994456563
4;1;1;2;5;1;19.9497287;0.019949728700000002
5;2;3;2;11;1;249.7970902;0.24979709020000002
2;2;1;1;16;1;158.94792522;0.15894792522
4;1;1;1;7;1;18.18592303;0.018185923030000002
5;2;3;2;4;1;12.95370677;0.01295370677
4;1;1;2;17;1;31.1656785;0.0311656785
4;1;1;2;8;1;35.44852216;0.03544852216
4;1;1;2;8;1;45.90666956;0.045906669559999995
4;1;1;1;18;1;17.60164649;0.01760164649
4;2;1;1;10;1;8.22070515;0.00822070515
2;2;1;1;19;1;15.30197457;0.01530197457
4;2;1;1;17;1;5.82289635;0.00582289635
5;2;3;2;14;1;77.60305006;0.07760305006
4;2;3;2;14;1;5.93284506;0.00593284506
4;2;3;NULL;14;1;25.4991247;0.0254991247
5;2;3;2;20;1;92.21085045;0.09221085044999999
5;NULL;3;2;13;1;224.15164646;0.22415164646
4;1;1;NULL;11;1;26.71309641;0.026713096409999998
4;1;1;1;8;1;40.09546676;0.040095466760000004
4;2;1;1;19;1;11.49203901;0.01149203901
4;1;1;NULL;19;1;7.96910634;0.00796910634
4;1;1;NULL;19;1;8.47790201;0.00847790201
4;1;3;1;10;1;57.37336505;0.05737336505
4;2;1;1;11;1;30.60493861;0.03060493861
4;2;1;1;11;1;6.76445818;0.00676445818
4;2;1;1;11;1;7.39855818;0.0073985581800000005
4;1;1;NULL;11;1;27.36446241;0.027364462410000002
5;NULL;2;2;18;1;779.43019939;0.77943019939
5;2;3;2;17;1;92.48290709;0.09248290709
5;2;3;2;20;1;106.34326608;0.10634326608000001
5;NULL;3;2;1;1;43.47173499;0.043471734990000004
5;NULL;4;2;1;1;141.23860554;0.14123860554
1;2;1;1;11;1;14.51207796;0.01451207796
4;NULL;3;2;14;1;20.57073721;0.020570737210000002
5;2;4;2;17;1;131.76017213;0.13176017213
5;1;5;1;17;1;61.16551514;0.061165515139999994
4;2;1;2;8;1;21.07880514;0.02107880514
5;2;4;2;1;1;108.95397152;0.10895397152
1;2;2;1;17;1;21.77486645;0.02177486645
4;1;1;1;4;1;4.60253701;0.004602537009999999
4;1;1;1;4;1;59.85366642;0.05985366642
4;1;1;1;4;1;14.5737289;0.014573728900000001
4;1;1;1;4;1;9.93160105;0.009931601049999999
4;1;1;NULL;19;1;29.15638377;0.029156383770000002
4;2;1;NULL;19;1;29.37858124;0.02937858124
5;2;3;2;18;1;99.78580646;0.09978580646
5;2;3;2;17;1;264.38667967;0.26438667966999996
5;2;3;2;17;1;21.15929987;0.021159299870000002
5;2;3;2;18;1;15.67006778;0.01567006778
4;1;1;1;13;1;22.00186089;0.02200186089
2;2;1;2;17;1;134.66244717;0.13466244717
2;2;1;1;9;1;23.02951273;0.02302951273
1;2;3;1;5;1;63.57226445;0.06357226445
5;2;4;NULL;11;1;152.47834487;0.15247834487
5;2;2;2;12;1;224.39587146;0.22439587146
1;1;3;2;12;1;107.35583999;0.10735583999000001
4;1;1;2;12;1;9.08915285;0.009089152849999999
4;2;1;1;14;1;5.74125769;0.00574125769
1;2;1;1;17;1;61.00900044;0.06100900044
4;NULL;3;2;14;1;5.09982881;0.00509982881
4;NULL;3;2;14;1;36.69564858;0.03669564858
5;2;3;2;7;1;267.84961798;0.26784961798
5;2;3;2;19;1;23.55854968;0.02355854968
1;2;1;1;17;1;45.50890037;0.04550890037
4;2;1;1;11;1;55.42365678;0.055423656780000004
5;2;4;2;1;1;125.19931605;0.12519931604999998
4;2;1;1;14;1;24.34011975;0.02434011975
1;2;1;1;20;1;41.66716404;0.04166716404
1;1;1;1;15;1;19.9823311;0.0199823311
4;2;3;1;14;1;6.0993952;0.0060993952
4;2;3;1;14;1;6.950531;0.006950530999999999
4;1;1;1;13;1;13.1193978;0.0131193978
4;1;1;1;13;1;80.75661542;0.08075661542
4;1;1;1;13;1;80.75661542;0.08075661542
1;2;1;1;14;1;4.56770091;0.00456770091
5;1;5;NULL;20;1;33.18182503;0.03318182503
5;1;2;NULL;4;1;96.66079756;0.09666079756000001
5;2;3;2;15;1;207.08271435;0.20708271435
1;NULL;3;2;13;1;47.67668179;0.04767668179
5;NULL;3;2;13;1;100.67819833;0.10067819833
4;2;1;1;17;1;5.12825848;0.005128258480000001
4;2;1;1;18;1;8.78423612;0.008784236119999999
2;2;1;1;20;1;16.33522342;0.01633522342
5;2;3;2;20;1;62.83792732;0.06283792732
5;2;3;2;20;1;176.98194921;0.17698194921000002
5;2;3;2;20;1;201.82336986;0.20182336986000002
1;2;3;2;20;1;50.99244477;0.05099244477
5;2;3;2;15;1;237.08602755;0.23708602755000002
4;2;1;1;8;1;4.40145035;0.00440145035
1;2;1;1;7;1;57.00957395;0.057009573949999996
5;NULL;3;NULL;14;1;119.14717288;0.11914717288
4;NULL;3;2;14;1;7.67034147;0.0076703414700000005
4;2;1;1;17;1;12.43668538;0.01243668538
4;1;1;2;4;1;11.87322429;0.01187322429
4;2;1;1;12;1;25.57038081;0.02557038081
5;NULL;4;2;18;1;142.3300231;0.1423300231
5;NULL;3;2;18;1;154.29832906;0.15429832906
5;2;3;2;16;1;46.69816867;0.04669816867
1;2;1;1;17;1;5.42059522;0.00542059522
1;2;1;2;15;1;39.96344018;0.03996344018
1;2;1;1;20;1;26.71483522;0.02671483522
4;2;1;1;10;1;11.87556335;0.01187556335
4;1;1;NULL;8;1;30.81850121;0.03081850121
5;2;4;2;4;1;67.14774785;0.06714774785000001
5;NULL;3;2;4;1;129.25460041;0.12925460041
5;NULL;3;2;2;1;93.99082794;0.09399082794000001
5;NULL;3;2;8;1;182.11909924;0.18211909924
5;NULL;3;2;19;1;102.17736205;0.10217736205
5;2;2;NULL;7;1;12.14180125;0.01214180125
4;NULL;1;1;15;1;10.79696678;0.01079696678
4;1;1;1;15;1;30.15147895;0.03015147895
4;1;1;2;15;1;6.0540819;0.0060540819
4;1;1;1;15;1;5.85867464;0.00585867464
4;2;1;1;10;1;8.02886312;0.00802886312
4;2;1;1;10;1;8.13590727;0.008135907270000001
1;2;1;1;8;1;20.19982282;0.02019982282
1;2;1;1;20;1;33.66391561;0.03366391561
2;2;1;1;19;1;35.8249626;0.035824962599999996
5;2;3;2;19;1;83.60740009;0.08360740008999999
5;2;3;2;11;1;199.85324856;0.19985324856
4;2;3;2;11;1;23.78951661;0.02378951661
1;NULL;1;1;7;1;124.4220072;0.12442200719999999
1;NULL;1;1;7;1;3.2745274;0.0032745274000000003
4;1;1;1;15;1;12.00784995;0.01200784995
4;1;1;1;10;1;148.223416;0.148223416
5;1;5;1;9;1;31.20978581;0.031209785809999998
5;NULL;3;2;9;1;43.26650667;0.043266506669999996
4;1;1;1;20;1;22.45322685;0.02245322685
4;1;1;1;20;1;16.93745057;0.01693745057
1;NULL;1;1;7;1;43.87441273;0.043874412730000006
1;NULL;3;2;6;1;14.16988892;0.01416988892
2;2;1;1;11;1;49.70630761;0.04970630761
2;2;1;1;2;1;89.04446646;0.08904446646
4;1;1;NULL;12;1;9.6795478;0.0096795478
4;NULL;3;2;8;1;19.52945504;0.019529455039999997
4;NULL;3;2;8;1;12.929078;0.012929078
1;NULL;3;1;8;1;20.20902217;0.02020902217
5;2;3;2;5;1;83.04374002;0.08304374002
1;2;3;2;14;1;140.56630999;0.14056630999
1;2;1;1;15;1;99.46468537;0.09946468537
5;2;2;2;16;1;227.01677331;0.22701677331
1;2;2;1;8;1;571.04755098;0.5710475509799999
5;NULL;3;2;1;1;146.95102058;0.14695102058
5;NULL;3;2;1;1;130.17080266;0.13017080266
4;2;1;1;18;1;223.10380814;0.22310380814000003
4;2;1;1;18;1;59.65843567;0.05965843567
4;2;1;2;18;1;132.9460236;0.1329460236
4;1;1;1;20;1;108.66367665;0.10866367665
1;2;3;2;20;1;123.45289451;0.12345289451
4;2;1;1;20;1;242.71503896;0.24271503896
4;1;1;1;19;1;11.13102377;0.01113102377
5;2;3;2;20;1;106.65282274;0.10665282274
1;2;3;2;20;1;23.89066706;0.02389066706
5;1;5;NULL;12;1;99.0176358;0.09901763579999999
4;1;1;NULL;12;1;10.91939906;0.01091939906
4;2;3;2;18;1;18.61453861;0.018614538610000002
4;1;1;2;12;3;11.29803437;0.01129803437
4;1;1;1;20;1;36.33914758;0.03633914758
5;2;3;2;17;1;245.56591593;0.24556591593
4;1;2;2;19;1;48.94202893;0.04894202893
4;2;2;2;19;1;22.59636201;0.02259636201
1;2;2;1;17;1;37.09313337;0.037093133369999996
2;2;3;1;17;1;83.44690776;0.08344690776000001
2;2;1;1;12;1;36.42272732;0.03642272732
2;2;1;1;12;1;28.12264731;0.028122647310000002
1;2;1;1;8;1;33.92978431;0.03392978431
5;2;3;2;20;1;94.18782925;0.09418782925
2;2;1;1;18;1;5.26270505;0.00526270505
4;1;1;1;5;1;23.7929223;0.0237929223
4;1;1;2;5;1;55.95955151;0.05595955151
1;2;3;2;3;1;44.31381928;0.04431381928
4;1;1;1;4;1;9.13987431;0.00913987431
